duration,muon_lr,mean,std,sem,uncertainty,n
5.0,0.005,6.993556332588196,0.0057827836380460705,0.0040890455245969895,0.0040890455245969895,2
5.0,0.008,6.914182019233703,0.016067019284450295,0.011361098289489833,0.011361098289489833,2
5.0,0.012,6.892006587982178,0.017129760499022317,0.012112569808960139,0.012112569808960139,2
5.0,0.018,6.909010338783265,0.005106208708270517,0.003610634803771884,0.003610634803771884,2
5.0,0.028,7.102416515350342,0.0011666922017389129,0.0008249759674070488,0.0008249759674070488,2
5.0,0.042,7.163301348686218,0.03710031974011431,0.026233887672423958,0.026233887672423958,2
15.0,0.005,6.452406501770019,0.0,0.0,0.015247015760691285,1
15.0,0.008,6.443373203277588,0.0,0.0,0.015247015760691285,1
15.0,0.012,6.458724164962769,0.0,0.0,0.015247015760691285,1
15.0,0.018,6.480557775497436,0.0,0.0,0.015247015760691285,1
15.0,0.028,6.4871437549591064,0.0,0.0,0.015247015760691285,1
15.0,0.042,6.4742687225341795,0.0,0.0,0.015247015760691285,1
20.0,0.012,6.32717616217477,0.015247015760691285,0.005762830276953063,0.005762830276953063,7
45.0,0.005,5.777073049545288,0.0,0.0,0.015247015760691285,1
45.0,0.008,5.718483352661133,0.0,0.0,0.015247015760691285,1
45.0,0.012,5.684439611434937,0.0,0.0,0.015247015760691285,1
45.0,0.018,5.680970811843872,0.0,0.0,0.015247015760691285,1
45.0,0.028,5.7248255729675295,0.0,0.0,0.015247015760691285,1
45.0,0.042,5.765734386444092,0.0,0.0,0.015247015760691285,1
80.0,0.005,5.238419699668884,0.0173879352342604,0.012295126914978027,0.012295126914978027,2
80.0,0.008,5.201926589012146,0.022582787194319155,0.0159684419631958,0.0159684419631958,2
80.0,0.012,5.182742285728454,0.007930789343034586,0.00560791492462176,0.00560791492462176,2
80.0,0.018,5.196595215797425,0.011380492034911607,0.008047223091125488,0.008047223091125488,2
80.0,0.028,5.227951860427856,0.004286368211036606,0.0030309200286864346,0.0030309200286864346,2
80.0,0.042,5.296328616142272,0.012334561815282887,0.00872185230255118,0.00872185230255118,2
